match_id,player_id,full_name,current_rank
12024041,198223,"Fomin, Sergey",656
12024043,149100,"Sultanov, Khumoyun",332
12024064,207065,"Shimizu, Eri",479
12024149,369438,"Todoni, Anca Alexia",228
12024225,338890,"Merida Aguilar, Daniel",401
12024232,189540,"Habib, Hady",310
12024235,108767,"Hassan, Benjamin",154
12024236,114885,"Nikles, Johan",1023
12024243,383987,"Gea, Arthur",449
12024248,280123,Perfetti Noah,1331
12024249,213076,"Erhard, Mathys",331
12024252,274685,"Toth, Amarissa Kiara",443
12024254,199378,"Giacomini, Luca",636
12024307,190208,"Portillo Ramirez, Maria Jose",662
12024308,78419,"Martinez Martinez, Jorge",660
12024356,326246,"Sharipov, Marat",354
12024368,122368,"Griekspoor, Tallon",28
12024386,329816,"Asrawy, Amr",744
12024387,42029,"Safwat, Mohamed",363
12024430,198121,"Maristany Zuleta De Reales, Guiomar",261
12024431,234320,"Aikawa, Mayuka",589
12024440,207654,"Tubello, Alice",606
12024550,284553,"Zolotareva, Anastasia",740
12024572,234309,"Wong, Hong Yi Cody",410
12024628,118040,"Klok, Denys",496
12024632,179262,"Liaonenka, Aliaksandr",777
12024643,339443,"Bielinskyi, Viacheslav",499
12024644,336308,"Salkova, Dominika",209
12024645,81275,"Gutierrez, Oscar Jose",892
12024652,228644,"Pogosian, Sergei",1183
12024769,460257,"Ghazouani Durand, Yanis",1053
12024782,71034,"Šrámková, Rebecca",127
12024913,383652,"Pridankina, Elena",327
12025016,100341,"Bolkvadze, Mariam",363
12025030,303360,"Falei, Aliona",203
12025056,48318,"Martincova, Tereza",155
12025057,19957,"Hercog, Polona",219
12025085,377363,"Serafini, Marcello",470
12025144,165866,"Miyazaki, Yuriko Lily",177
12025672,244410,"Rai, Ajeet",540
11998445,287803,"Cazaux, Arthur",86
11998446,62790,"Lestienne, Constant",99
11998447,64580,"Ćorić, Borna",31
11998452,64580,"Ćorić, Borna",31
11998453,248846,"Mayot, Harold",132
11998454,283070,"Rune, Holger",7
11998456,264344,"Shevchenko, Alexander",47
11998459,283070,"Rune, Holger",7
11998664,58369,"Bolt, Alex",262
11998666,39712,"Saville, Luke",295
11998667,46390,"Uchiyama, Yasutaka",248
11998670,32466,"Moriya, Hiroki",350
11998671,79467,"Jasika, Omar",225
11998673,79467,"Jasika, Omar",225
11998772,290569,"Vandecasteele, Quinn",566
11998776,36678,"Sandgren, Tennys",270
11998777,334293,"Quinn, Ethan",287
11998779,39711,"Duckworth, James",108
11998780,334293,"Quinn, Ethan",287
11998781,232057,"Nava, Emilio",134
11998784,63642,"Kwiatkowski, Thai-Son",291
11998786,232057,"Nava, Emilio",134
11999004,22970,"Krajinović, Filip",417
11999005,197446,"Naw, Hazem",337
11999006,300293,"Rehberg, Max Hans",468
11999007,57155,"Jorda Sanchis, David",326
11999009,132558,"Kolar, Zdenek",235
11999011,36300,"Travaglia, Stefano",188
11999014,36300,"Travaglia, Stefano",188
11999015,132558,"Kolar, Zdenek",235
11999018,200159,"Rodionov, Jurij",91
11999019,200159,"Rodionov, Jurij",91
11999206,144102,"Weis, Alexander",301
11999207,54573,"Coria, Federico",88
11999208,298057,"Gill, Felix",334
11999211,54975,"Casanova, Hernan",366
11999212,264978,"Pucinelli de Almeida, Matheus",303
11999213,54573,"Coria, Federico",88
11999214,377489,"Feldbausch, Kilian",410
11999219,48225,"Dutra da Silva, Daniel",517
12002041,23082,"Rodionova, Arina",99
12002049,210831,"Potapova, Anastasia",31
12002050,189986,"Yastremska, Dayana",29
12002051,72376,"Siniakova, Katerina",43
12002053,78551,"Mertens, Elise",27
12002055,64496,"Ostapenko, Jelena",10
12002057,318575,"Shnaider, Diana",73
12002058,227431,"Wang, Xinyu",41
12002059,64496,"Ostapenko, Jelena",10
12002060,52025,"Wang, Yafan",69
12002061,78551,"Mertens, Elise",27
12002064,23082,"Rodionova, Arina",99
12002065,206568,"Burel, Clara",46
12002066,318575,"Shnaider, Diana",73
12002067,52025,"Wang, Yafan",69
12002068,210831,"Potapova, Anastasia",31
12002072,50641,"Vekić, Donna",28
12017513,92879,"Shymanovich, Iryna",198
12017514,98607,"Chang, Sophie",359
12018899,19957,"Hercog, Polona",219
12019043,161448,"Jones, Ben",864
12019658,355527,"Jong, Alexander Maarten",578
12020048,71484,"Chirico, Louisa",245
12021512,339443,"Bielinskyi, Viacheslav",499
12021514,232615,"Krutykh, Oleksii",392
12021515,339443,"Bielinskyi, Viacheslav",499
12021516,232615,"Krutykh, Oleksii",392
12021538,192406,"Shalimova, Ekaterina",690
12021658,263653,"Erjavec, Veronika",190
12022282,377363,"Serafini, Marcello",470
12022321,62000,"Kan, Victoria",791
12022492,64968,"Dodin, Océane",82
12022526,326524,"Pecci, Alessandro",781
12022528,155556,"Bulgaru, Miriam Bianca",194
12022562,88318,"Albie, Audrey",447
12022672,168526,"Appleton, Emily",407
12022675,223563,"Hamaliy, Elizabet",1191
12022685,280202,"Sieg, Madison",334
12022703,233214,"Kessler, McCartney",120
12022718,108621,"Kempen, Magali",313
12022727,479888,"Ionescu, Elizabeth",1077
12022801,141892,"Carlé, María Lourdes",101
12022802,51943,"Strakhova, Valeriya",257
12023335,297194,"Ito, Aoi",293
12023340,406665,"Saito, Sara",244
12023348,75813,"Zhang, Zhizhen",46
12023349,450685,"Zhou, Yi",900
12023350,450685,"Zhou, Yi",900
12023351,75813,"Zhang, Zhizhen",48
12023352,81041,"Ly, Hoang Nam",550
12023353,138966,"Trinh, Linh Giang",1340
12023355,81041,"Ly, Hoang Nam",550
12023356,138966,"Trinh, Linh Giang",1340
12023358,17046,"Statham, Rubin",503
12023359,257637,"Pannu, Kiranpal",706
12023361,17046,"Statham, Rubin",503
12023362,257637,"Pannu, Kiranpal",706
12023461,231597,"Imamura, Saki",451
12023462,238275,"Sawangkaew, Mananchaya",238
12023465,221362,"Monnet, Carole",192
12023470,138452,"Shibahara, Ena",415
12024039,149100,"Sultanov, Khumoyun",332
12024041,198223,"Fomin, Sergey",656
12024042,198223,"Fomin, Sergey",656
12024043,149100,"Sultanov, Khumoyun",332
12024064,207065,"Shimizu, Eri",479
12024149,369438,"Todoni, Anca Alexia",228
12024225,338890,"Merida Aguilar, Daniel",401
12024226,212809,"Parker, Stuart",675
12024231,108767,"Hassan, Benjamin",154
12024232,189540,"Habib, Hady",312
12024234,189540,"Habib, Hady",310
12024235,108767,"Hassan, Benjamin",154
12024236,114885,"Nikles, Johan",1023
12024239,153826,"Echargui, Moez",290
12024240,172482,"Dougaz, Aziz",218
12024243,383987,"Gea, Arthur",449
12024245,217835,"Iannaccone, Federico",531
12024248,280123,Perfetti Noah,1331
12024249,213076,"Erhard, Mathys",331
12024252,274685,"Toth, Amarissa Kiara",443
12024254,199378,"Giacomini, Luca",636
12024307,190208,"Portillo Ramirez, Maria Jose",662
12024308,78419,"Martinez Martinez, Jorge",660
12024356,326246,"Sharipov, Marat",354
12024365,369288,"Tabacco, Giorgio",708
12024368,122368,"Griekspoor, Tallon",28
12024369,102339,"Van De Zandschulp, Botic",75
12024371,333518,"Pfeifer, Lara",849
12024386,329816,"Asrawy, Amr",744
12024387,42029,"Safwat, Mohamed",363
12024388,42029,"Safwat, Mohamed",363
12024389,329816,"Asrawy, Amr",744
12024430,198121,"Maristany Zuleta De Reales, Guiomar",261
12024431,234320,"Aikawa, Mayuka",589
12024435,478938,"Samsonova, Laura",930
12024440,207654,"Tubello, Alice",606
12024489,387966,"Munk Mortensen, Rebecca",616
12024512,83661,"Ymer, Elias",158
12024513,83661,"Ymer, Elias",158
12024514,152726,"Friberg, Karl",372
12024550,284553,"Zolotareva, Anastasia",740
12024556,47770,"Fucsovics, Marton",77
12024557,218259,"Marozsan, Fabian",59
12024559,218259,"Marozsan, Fabian",59
12024572,234309,"Wong, Hong Yi Cody",410
12024613,198592,"Kecmanović, Miomir",53
12024614,39234,"Lajovic, Dusan",55
12024617,198592,"Kecmanović, Miomir",53
12024628,118040,"Klok, Denys",496
12024632,179262,"Liaonenka, Aliaksandr",777
