player_id,full_name,current_rank,total_prize,country
23082,"Rodionova, Arina",99,1780953,Australia
206568,"Burel, Clara",46,1630318,France
318575,"Shnaider, Diana",73,506127,Russia
52025,"Wang, Yafan",69,2139419,China
210831,"Potapova, Anastasia",31,2650013,Russia
50641,"Vekić, Donna",28,5972094,Croatia
92879,"Shymanovich, Iryna",198,368013,Belarus
98607,"Chang, Sophie",359,336571,USA
19957,"Hercog, Polona",219,3629385,Slovenia
161448,"Jones, Ben",864,39883,United Kingdom
355527,"Jong, Alexander Maarten",578,21389,Netherlands
71484,"Chirico, Louisa",245,1095697,USA
339443,"Bielinskyi, Viacheslav",499,26531,Ukraine
232615,"Krutykh, Oleksii",392,239421,Ukraine
339443,"Bielinskyi, Viacheslav",499,26531,Ukraine
232615,"Krutykh, Oleksii",392,239263,Ukraine
192406,"Shalimova, Ekaterina",690,50858,Russia
263653,"Erjavec, Veronika",190,107123,Slovenia
377363,"Serafini, Marcello",470,45511,Italy
62000,"Kan, Victoria",791,176488,Russia
64968,"Dodin, Océane",82,2089953,France
326524,"Pecci, Alessandro",781,11031,Italy
155556,"Bulgaru, Miriam Bianca",194,172443,Romania
88318,"Albie, Audrey",447,219054,France
168526,"Appleton, Emily",407,125333,United Kingdom
223563,"Hamaliy, Elizabet",1191,13094,Portugal
280202,"Sieg, Madison",334,34775,USA
233214,"Kessler, McCartney",120,188187,USA
108621,"Kempen, Magali",313,183368,Belgium
479888,"Ionescu, Elizabeth",1077,1160,USA
141892,"Carlé, María Lourdes",101,326446,Argentina
51943,"Strakhova, Valeriya",257,232300,Ukraine
297194,"Ito, Aoi",293,34610,Japan
406665,"Saito, Sara",244,32142,Japan
75813,"Zhang, Zhizhen",46,1742837,China
450685,"Zhou, Yi",900,49178,China
450685,"Zhou, Yi",900,49178,China
75813,"Zhang, Zhizhen",48,1742837,China
81041,"Ly, Hoang Nam",550,102837,Vietnam
138966,"Trinh, Linh Giang",1340,8333,Vietnam
81041,"Ly, Hoang Nam",550,102837,Vietnam
138966,"Trinh, Linh Giang",1340,8333,Vietnam
17046,"Statham, Rubin",503,334059,New Zealand
257637,"Pannu, Kiranpal",706,38721,New Zealand
17046,"Statham, Rubin",503,334059,New Zealand
257637,"Pannu, Kiranpal",706,38721,New Zealand
231597,"Imamura, Saki",451,36731,Japan
238275,"Sawangkaew, Mananchaya",238,48301,Thailand
221362,"Monnet, Carole",192,344219,France
138452,"Shibahara, Ena",415,1413773,Japan
149100,"Sultanov, Khumoyun",332,106617,Uzbekistan
198223,"Fomin, Sergey",656,63663,Uzbekistan
198223,"Fomin, Sergey",656,63663,Uzbekistan
149100,"Sultanov, Khumoyun",332,106617,Uzbekistan
207065,"Shimizu, Eri",479,36437,Japan
369438,"Todoni, Anca Alexia",228,41950,Romania
338890,"Merida Aguilar, Daniel",401,44270,Spain
212809,"Parker, Stuart",675,98096,United Kingdom
108767,"Hassan, Benjamin",154,184648,Germany
189540,"Habib, Hady",312,78764,Lebanon
189540,"Habib, Hady",310,78923,Lebanon
108767,"Hassan, Benjamin",154,181244,Germany
114885,"Nikles, Johan",1023,113904,Switzerland
153826,"Echargui, Moez",290,128813,Tunisia
172482,"Dougaz, Aziz",218,263641,Tunisia
383987,"Gea, Arthur",449,34373,France
217835,"Iannaccone, Federico",531,48180,Italy
280123,Perfetti Noah,1331,4127,Italy
213076,"Erhard, Mathys",331,69818,France
274685,"Toth, Amarissa Kiara",443,44999,Hungary
199378,"Giacomini, Luca",636,46087,Italy
190208,"Portillo Ramirez, Maria Jose",662,49977,Mexico
78419,"Martinez Martinez, Jorge",660,28076,Spain
326246,"Sharipov, Marat",354,37382,Russia
369288,"Tabacco, Giorgio",708,28038,Italy
122368,"Griekspoor, Tallon",28,2978930,Netherlands
102339,"Van De Zandschulp, Botic",75,3296295,Netherlands
333518,"Pfeifer, Lara",849,13208,Italy
329816,"Asrawy, Amr",744,28496,Egypt
42029,"Safwat, Mohamed",363,736803,Egypt
42029,"Safwat, Mohamed",363,736803,Egypt
329816,"Asrawy, Amr",744,28756,Egypt
198121,"Maristany Zuleta De Reales, Guiomar",261,91845,Spain
234320,"Aikawa, Mayuka",589,34366,Japan
478938,"Samsonova, Laura",930,3036,Czech Republic
207654,"Tubello, Alice",606,58858,France
387966,"Munk Mortensen, Rebecca",616,9678,Denmark
83661,"Ymer, Elias",158,1543176,Sweden
83661,"Ymer, Elias",158,1539772,Sweden
152726,"Friberg, Karl",372,84413,Sweden
284553,"Zolotareva, Anastasia",740,71429,Russia
47770,"Fucsovics, Marton",77,5542164,Hungary
218259,"Marozsan, Fabian",59,805703,Hungary
218259,"Marozsan, Fabian",59,805703,Hungary
234309,"Wong, Hong Yi Cody",410,52292,Hong Kong
198592,"Kecmanović, Miomir",53,4583293,Serbia
39234,"Lajovic, Dusan",55,7427838,Serbia
198592,"Kecmanović, Miomir",53,4590052,Serbia
118040,"Klok, Denys",496,62251,Russia
179262,"Liaonenka, Aliaksandr",777,26197,Belarus
96239,"Durasovic, Viktor",439,220350,Norway
119248,"Ruud, Casper",11,14212776,Norway
232615,"Krutykh, Oleksii",392,239263,Ukraine
339443,"Bielinskyi, Viacheslav",499,26531,Ukraine
336308,"Salkova, Dominika",209,95968,Czech Republic
81275,"Gutierrez, Oscar Jose",892,118937,Brazil
228644,"Pogosian, Sergei",1183,9624,Russia
460257,"Ghazouani Durand, Yanis",1053,4583,France
71034,"Šrámková, Rebecca",127,649118,Slovakia
154744,"Lee, Eunhye",716,27063,South Korea
167370,"Ruusuvuori, Emil",43,2992344,Finland
229218,"Virtanen, Otto",131,339148,Finland
383652,"Pridankina, Elena",327,29313,Russia
187218,"Mejia, Nicolas",425,143853,Colombia
217437,"Soriano Barrera, Adria",587,35765,Colombia
100341,"Bolkvadze, Mariam",363,391172,Georgia
303360,"Falei, Aliona",203,40137,Belarus
197546,"Salle, Fabien",824,6292,France
48318,"Martincova, Tereza",155,1946837,Czech Republic
19957,"Hercog, Polona",219,3629385,Slovenia
326524,"Pecci, Alessandro",781,11031,Italy
64968,"Dodin, Océane",82,2089953,France
377363,"Serafini, Marcello",470,45511,Italy
51836,"Arévalo, Marcelo",1321,1236575,El Salvador
377065,"Hovde, Liv",292,87288,USA
16779,"Pospisil, Vasek",721,5958366,Canada
280151,"Diallo, Gabriel",129,283640,Canada
233214,"Kessler, McCartney",120,188187,USA
165866,"Miyazaki, Yuriko Lily",177,433615,United Kingdom
141892,"Carlé, María Lourdes",101,326446,Argentina
248329,"Hu, Victoria",311,42858,USA
244410,"Rai, Ajeet",540,67942,New Zealand
138452,"Shibahara, Ena",415,1413773,Japan
163996,"Wu, Tung-Lin",236,407010,Chinese Taipei
204329,"Hsu, Yu Hsiou",233,408073,Chinese Taipei
162638,"Wong, Hong Kit",1468,29589,Hong Kong
289106,"Wong, Chak Lam Coleman",241,57832,Hong Kong
297194,"Ito, Aoi",293,34610,Japan
244410,"Rai, Ajeet",540,67942,New Zealand
52533,"Jakupovic, Dalila",214,990466,Slovenia
327924,"Eala, Alexandra",180,164692,Philippines
177686,"Barranco Cosano, Javier",300,184133,Spain
326246,"Sharipov, Marat",354,37382,Russia
351300,"Pawelski, Martyn",516,22111,Poland
182875,"Efstathiou, Menelaos",1217,13492,Cyprus
105375,"Chrysochos, Petros",1404,63308,Cyprus
17600,"Khan, Aqeel",1438,14945,Pakistan
322022,"Gaubas, Vilius",358,30670,Lithuania
22956,"Berankis, Ričardas",247,4013701,Lithuania
