match_id,slug
12121827,qualification-round-1
12121828,qualification-round-1
12121829,qualification-round-1
12122172,final
12122307,qualification-round-1
12122308,qualification-round-1
12122309,qualification-round-1
12122310,qualification-round-1
12122311,qualification-round-1
12122317,qualification-round-1
12122318,qualification-round-1
12122319,qualification-round-1
12122320,qualification-round-1
12122321,qualification-round-1
12122322,qualification-round-1
12122323,qualification-round-1
12122324,qualification-round-1
12122325,qualification-round-1
12122326,qualification-round-1
12122327,qualification-round-1
12122733,qualification-round-1
12122821,qualification-round-1
12123826,final
12087308,final
12087313,final
12087945,final
12088030,final
12121109,final
12121124,qualification-round-1
12121126,qualification-round-1
12121553,qualification-round-1
12121554,qualification-round-1
12121555,qualification-round-1
12121588,qualification-round-1
12121589,qualification-round-1
12121590,qualification-round-1
12121591,qualification-round-1
12121592,qualification-round-1
12121594,round-of-32
12121595,round-of-32
12121596,round-of-32
12121597,round-of-32
12121598,round-of-32
12121599,round-of-32
12121600,round-of-32
12121601,round-of-32
12121602,round-of-32
12121603,round-of-32
12121607,final
12121676,round-of-32
12121679,round-of-32
12121680,round-of-32
12121682,round-of-32
12121684,round-of-32
12121805,final
12121806,qualification-round-1
12121807,qualification-round-1
12121808,qualification-round-1
12121809,qualification-round-1
12121810,qualification-round-1
12121811,qualification-round-1
12121812,qualification-round-1
12121817,qualification-round-1
12121818,qualification-round-1
12121819,qualification-round-1
12121826,qualification-round-1
12121827,qualification-round-1
12121828,qualification-round-1
12121829,qualification-round-1
12121874,round-of-32
12121878,round-of-32
12121879,round-of-32
12121883,round-of-32
12121885,round-of-32
12122172,final
12122307,qualification-round-1
12122308,qualification-round-1
12122309,qualification-round-1
12122310,qualification-round-1
12122311,qualification-round-1
12122317,qualification-round-1
12122318,qualification-round-1
12122319,qualification-round-1
12122320,qualification-round-1
12122321,qualification-round-1
12122322,qualification-round-1
12122323,qualification-round-1
12122324,qualification-round-1
12122325,qualification-round-1
12122326,qualification-round-1
12122327,qualification-round-1
12122328,qualification-round-1
12122329,qualification-round-1
12122330,qualification-round-1
12122331,qualification-round-1
12122332,qualification-round-1
12122333,qualification-round-1
12122334,qualification-round-1
12122335,qualification-round-1
12123826,final
12124658,round-of-64
12124660,round-of-64
12124661,round-of-64
12124662,round-of-64
12124663,round-of-64
12124664,round-of-64
12124666,round-of-64
12125315,qualification-round-1
12125316,qualification-round-1
12125317,qualification-round-1
12125318,qualification-round-1
12125319,qualification-round-1
12125320,qualification-round-1
12125321,qualification-round-1
12125322,qualification-round-1
12125324,qualification-round-1
12125325,qualification-round-1
12125326,qualification-round-1
12125327,qualification-round-1
12125328,qualification-round-1
12125329,qualification-round-1
12125330,qualification-round-1
12125331,qualification-round-1
12125332,qualification-round-1
12125338,qualification-round-1
12125339,qualification-round-1
12125340,qualification-round-1
12125341,qualification-round-1
12125342,qualification-round-1
12125343,qualification-round-1
12125344,qualification-round-1
12125759,round-of-32
12125761,round-of-32
12125762,round-of-32
12125763,round-of-32
12125764,round-of-32
12125767,round-of-32
12125768,round-of-32
12125769,round-of-32
12125938,round-of-32
12126221,round-of-32
12126222,round-of-32
12126223,round-of-32
12126296,round-of-32
12126299,round-of-32
12126300,round-of-32
12126307,round-of-32
12126309,round-of-32
12126310,round-of-32
12126311,round-of-32
12126315,round-of-32
12126317,round-of-32
12126321,round-of-32
12126348,round-of-32
12126353,round-of-32
12126374,round-of-32
12126376,round-of-32
12126451,round-of-32
12126469,round-of-32
12126474,round-of-32
12126476,round-of-32
12126478,round-of-32
12126536,round-of-32
12126538,round-of-32
12126547,round-of-32
12126631,round-of-32
12126633,round-of-32
12126634,round-of-32
12126635,round-of-32
12126636,round-of-32
12126637,round-of-32
12126641,round-of-32
12126644,round-of-32
12126645,round-of-32
12126646,round-of-32
12126647,round-of-32
12126779,round-of-32
12126780,round-of-32
12126782,round-of-32
12126792,round-of-32
12126794,round-of-32
12126830,round-of-32
12126833,round-of-32
12126834,round-of-32
12126838,round-of-32
12126914,qualification-round-1
12127034,round-of-32
12127039,round-of-32
12127040,round-of-32
12127041,round-of-32
12127043,round-of-32
12127055,qualification-round-1
12127062,round-of-32
12127064,round-of-32
12127755,round-of-32
12127772,round-of-32
12127777,round-of-32
12128625,round-of-32
12143199,round-of-32
12143200,round-of-32
12143201,round-of-32
12109854,round-of-16
12109900,round-of-16
12109904,round-of-16
12109906,round-of-16
12109908,round-of-16
12121594,round-of-32
12121595,round-of-32
12121597,round-of-32
12121598,round-of-32
12121599,round-of-32
12121601,round-of-32
12121603,round-of-32
12121604,round-of-32
12121607,final
12121675,round-of-32
12121676,round-of-32
12121677,round-of-32
12121678,round-of-32
12121679,round-of-32
12121680,round-of-32
12121681,round-of-32
12121682,round-of-32
12121683,round-of-32
12121684,round-of-32
12121805,final
12121866,round-of-32
12121868,round-of-32
12121870,round-of-32
12121872,round-of-32
12121874,round-of-32
12121876,round-of-32
12121878,round-of-32
12121879,round-of-32
12121881,round-of-32
12121883,round-of-32
12121885,round-of-32
12122328,qualification-round-1
12122329,qualification-round-1
12122330,qualification-round-1
12122331,qualification-round-1
12122332,qualification-round-1
12122333,qualification-round-1
12122334,qualification-round-1
12122335,qualification-round-1
12124658,round-of-64
12124660,round-of-64
12124661,round-of-64
12124662,round-of-64
12124663,round-of-64
12124664,round-of-64
12124666,round-of-64
12124907,qualification-round-2
12124909,qualification-round-2
12124911,qualification-round-2
12125050,round-of-32
12125053,round-of-64
12125055,round-of-32
12125056,round-of-32
12125302,qualification-round-2
12125315,qualification-round-1
12125316,qualification-round-1
12125317,qualification-round-1
12125318,qualification-round-1
12125319,qualification-round-1
12125320,qualification-round-1
12125321,qualification-round-1
12125322,qualification-round-1
12125323,qualification-round-2
12125324,qualification-round-1
12125325,qualification-round-1
12125326,qualification-round-1
12125327,qualification-round-1
12125328,qualification-round-1
12125329,qualification-round-1
12125330,qualification-round-1
12125331,qualification-round-1
12125332,qualification-round-1
12125338,qualification-round-1
12125339,qualification-round-1
12125340,qualification-round-1
12125341,qualification-round-1
12125342,qualification-round-1
12125343,qualification-round-1
12125344,qualification-round-1
12125759,round-of-32
12125761,round-of-32
12125762,round-of-32
12125763,round-of-32
12125764,round-of-32
12125767,round-of-32
12125768,round-of-32
12125769,round-of-32
12125938,round-of-32
12126219,round-of-32
12126220,round-of-32
12126221,round-of-32
12126222,round-of-32
12126223,round-of-32
12126296,round-of-32
12126299,round-of-32
12126300,round-of-32
12126307,round-of-32
12126309,round-of-32
12126310,round-of-32
12126311,round-of-32
12126315,round-of-32
12126317,round-of-32
12126321,round-of-32
12126348,round-of-32
12126353,round-of-32
12126374,round-of-32
12126376,round-of-32
12126451,round-of-32
12126469,round-of-32
12126474,round-of-32
12126476,round-of-32
12126478,round-of-32
12126536,round-of-32
12126538,round-of-32
12126546,round-of-32
12126547,round-of-32
12126631,round-of-32
12126633,round-of-32
12126634,round-of-32
12126635,round-of-32
12126636,round-of-32
12126637,round-of-32
12126641,round-of-32
12126644,round-of-32
12126645,round-of-32
12126646,round-of-32
12126647,round-of-32
12126651,round-of-32
12126654,round-of-32
12126662,round-of-32
12126663,round-of-32
12126665,round-of-32
12126666,round-of-32
12126779,round-of-32
12126780,round-of-32
12126781,round-of-32
12126782,round-of-32
