tournament_id,ground_type
126443,Hardcourt outdoor
126443,Hardcourt outdoor
126443,Hardcourt outdoor
126443,Hardcourt outdoor
126443,Hardcourt outdoor
126443,Hardcourt outdoor
126443,Hardcourt outdoor
294,
126426,Hardcourt outdoor
126426,Hardcourt outdoor
126426,Hardcourt outdoor
126426,Hardcourt outdoor
126427,Hardcourt outdoor
294,
47372,
126331,Hardcourt indoor
126329,Carpet indoor
126321,Hardcourt outdoor
294,
126431,Hardcourt indoor
126431,Hardcourt indoor
126431,Hardcourt indoor
294,
126426,Hardcourt outdoor
126431,Hardcourt indoor
126444,Red clay
126444,Red clay
126445,Red clay
126445,Red clay
126445,Red clay
126444,Red clay
126444,Red clay
126445,Red clay
126445,Red clay
126444,Red clay
126445,Red clay
126445,Red clay
126444,Red clay
126445,Red clay
126445,Red clay
126445,Red clay
126445,Red clay
126445,Red clay
126445,Red clay
126444,Red clay
126444,Red clay
126444,Red clay
126445,Red clay
126444,Red clay
126445,Red clay
126445,Red clay
126444,Red clay
126444,Red clay
126444,Red clay
126445,Red clay
126444,Red clay
126445,Red clay
126444,Red clay
126445,Red clay
126445,Red clay
126445,Red clay
126444,Red clay
126444,Red clay
126445,Red clay
126444,Red clay
126445,Red clay
126444,Red clay
126444,Red clay
126445,Red clay
126445,Red clay
126444,Red clay
126444,Red clay
126444,Red clay
126444,Red clay
126444,Red clay
126445,Red clay
126445,Red clay
126445,Red clay
126445,Red clay
126445,Red clay
126444,Red clay
126445,Red clay
126444,Red clay
126444,Red clay
126444,Red clay
126444,Red clay
126444,Red clay
126444,Red clay
126445,Red clay
126447,Hardcourt outdoor
126447,Hardcourt outdoor
126447,Hardcourt outdoor
126447,Hardcourt outdoor
126447,Hardcourt outdoor
126447,Hardcourt outdoor
126447,Hardcourt outdoor
126447,Hardcourt outdoor
126447,Hardcourt outdoor
126447,Hardcourt outdoor
126447,Hardcourt outdoor
294,
126324,Hardcourt outdoor
126431,Hardcourt indoor
126328,Hardcourt indoor
126450,Hardcourt outdoor
126450,Hardcourt outdoor
126450,Hardcourt outdoor
126450,Hardcourt outdoor
126450,Hardcourt outdoor
126450,Hardcourt outdoor
126450,Hardcourt outdoor
126450,Hardcourt outdoor
126450,Hardcourt outdoor
126450,Hardcourt outdoor
126450,Hardcourt outdoor
126450,Hardcourt outdoor
126450,Hardcourt outdoor
126450,Hardcourt outdoor
126450,Hardcourt outdoor
126450,Hardcourt outdoor
126450,Hardcourt outdoor
126450,Hardcourt outdoor
126450,Hardcourt outdoor
126450,Hardcourt outdoor
126450,Hardcourt outdoor
126450,Hardcourt outdoor
126450,Hardcourt outdoor
126450,Hardcourt outdoor
126450,Hardcourt outdoor
126450,Hardcourt outdoor
126450,Hardcourt outdoor
126452,Red clay
126452,Red clay
126452,Red clay
126452,Red clay
126452,Red clay
126452,Red clay
126452,Red clay
126452,Red clay
126452,Red clay
126452,Red clay
126452,Red clay
126452,Red clay
126452,Red clay
126452,Red clay
126452,Red clay
126452,Red clay
126452,Red clay
126452,Red clay
126452,Red clay
126452,Red clay
126452,Red clay
126452,Red clay
126452,Red clay
126452,Red clay
126452,Red clay
126452,Red clay
126452,Red clay
126452,Red clay
126452,Red clay
126452,Red clay
126452,Red clay
126452,Red clay
126455,Hardcourt indoor
126455,Hardcourt indoor
126455,Hardcourt indoor
126455,Hardcourt indoor
126455,Hardcourt indoor
126455,Hardcourt indoor
126455,Hardcourt indoor
126455,Hardcourt indoor
126455,Hardcourt indoor
126455,Hardcourt indoor
126456,Hardcourt indoor
126456,Hardcourt indoor
