player_id,full_name,current_rank,total_prize,country
228644,"Pogosian, Sergei",1183,9624,Russia
275530,"Jacquemot, Elsa",162,557589,France
373035,"Van Impe, Amelie",476,24442,Belgium
333518,"Pfeifer, Lara",849,13208,Italy
318710,"Laskevich, Evialina",694,15608,Belarus
334273,"Avdeeva, Julia",204,55063,Russia
58423,"Stevanović, Natalija",185,570973,Serbia
393344,"Arutiunian, Erik",812,18952,Belarus
373201,"Alimli, Mikail",1324,5625,France
234309,"Wong, Hong Yi Cody",410,52292,Hong Kong
336308,"Salkova, Dominika",209,95968,Czech Republic
165866,"Miyazaki, Yuriko Lily",177,433615,United Kingdom
65656,"Ferro, Fiona",141,1956859,France
94747,"Hoang, Antoine",506,928938,France
275105,"Bouzas Maneiro, Jessica",124,307699,Spain
236833,"Romero Gormaz, Leyre",282,145731,Spain
111879,"Fung, Stacey",222,106528,Canada
130628,"Miroshnichenko, Veronica",303,50479,Russia
75281,"Peterson, Rebecca",202,2531333,Sweden
377065,"Hovde, Liv",292,87288,USA
118526,"Wolff, Vivian",364,29651,USA
51315,"Anderson, Robin",347,506893,USA
256081,"Hosogi, Sakura",441,79837,Japan
224033,"Naito, Yuki",391,313610,Japan
420969,"Kriznik, Matic",1279,2180,Slovenia
384145,"Dominko, Sebastian",1106,6908,Slovenia
238147,"Henning, Philip",745,9727,South Africa
156826,"van Wyk, Kris",414,38964,South Africa
241718,"Erel, Yanki",336,67890,Turkey
53183,"Ilkel, Cem",318,611972,Turkey
52533,"Jakupovic, Dalila",214,990466,Slovenia
87834,"Hon, Priscilla",170,1063361,Australia
58267,"Radanović, Dejana",243,168702,Serbia
376006,"Joint, Maya",336,57328,Australia
158896,"Hurkacz, Hubert",8,12079600,Poland
342835,"Kasnikowski, Maks",253,60668,Poland
293868,"Kudermetova, Polina",158,219618,Russia
327924,"Eala, Alexandra",180,164692,Philippines
59281,"Nishioka, Yoshihito",82,4828586,Japan
157302,"Watanuki, Yosuke",126,838181,Japan
126402,"Denolly, Corentin",442,172245,France
329533,"Vilicich, Bautista",819,8267,Argentina
165198,"Oetzbach, Adrian",558,30177,Germany
330085,"Popovic, Stefan",536,26127,Serbia
107429,"Turati, Anna",570,56528,Italy
202572,"Gengel, Marek",577,151141,Czech Republic
412849,"Dencheva, Rositsa",875,4720,Bulgaria
177686,"Barranco Cosano, Javier",300,184133,Spain
296802,"Visker, Niels",672,19439,Netherlands
145112,"Huesler, Marc-Andrea",199,1348292,Switzerland
26203,"Gomez, Emilio",544,874393,Ecuador
269909,"Guillen Meza, Alvaro",294,42103,Ecuador
342875,"Pavlova, Kira",462,17578,Russia
158636,"Prisăcariu, Andreea",319,85439,Romania
63220,"Ponchet, Jessika",146,792143,France
232459,"Hindova, Denisa",623,37723,Czech Republic
236833,"Romero Gormaz, Leyre",282,145731,Spain
238867,"Ovcharenko, Oleksandr",788,43943,Ukraine
350691,"Szajrych, Jasza",891,11948,Poland
197516,"Eubanks, Christopher",34,2311357,USA
199408,"Jorge, Francisca",199,128973,Portugal
100097,"Moroni, Gian Marco",645,296139,Italy
351300,"Pawelski, Martyn",516,22111,Poland
267576,"Bouquier, Arthur",612,48658,France
277187,"Abbagnato, Anastasia",526,20183,Italy
348712,"Radivojevic, Lola",331,47982,Serbia
130624,"Gasanova, Anastasia",473,345803,Russia
92442,"Fett, Jana",182,653584,Croatia
75281,"Peterson, Rebecca",202,2531333,Sweden
275105,"Bouzas Maneiro, Jessica",124,307699,Spain
230344,"Oberleitner, Neil",586,71209,Austria
168526,"Appleton, Emily",407,125333,United Kingdom
241718,"Erel, Yanki",336,67890,Turkey
192013,"Auger-Aliassime, Felix",30,10166964,Canada
273680,Flavio Cobolli,69,801778,Italy
77223,"Martinez, Pedro",101,2732689,Spain
273680,Flavio Cobolli,69,808536,Italy
192013,"Auger-Aliassime, Felix",30,10166964,Canada
131442,"Mmoh, Michael",122,1775118,USA
163480,"Bublik, Alexander",23,5125443,Kazakhstan
264358,"Llamas Ruiz, Pablo",151,187139,Spain
46390,"Uchiyama, Yasutaka",248,1215823,Japan
66874,"Imai, Shintaro",644,116542,Japan
80665,"Polmans, Marc",168,1367548,Australia
58369,"Bolt, Alex",262,1317097,Australia
233126,"Sweeny, Dane",202,349103,Australia
66874,"Imai, Shintaro",644,116542,Japan
52276,"Krueger, Mitchell",293,1035498,USA
36595,"Kudla, Denis",178,3780958,USA
63642,"Kwiatkowski, Thai-Son",291,428698,USA
290569,"Vandecasteele, Quinn",566,30844,USA
77007,"Kozlov, Stefan",816,834132,USA
210490,"Kypson, Patrick",150,322030,USA
255993,"Trotter, James Kent",393,41194,Japan
386194,"Brady, Patrick",730,14913,United Kingdom
235576,"Nakashima, Brandon",89,2707274,USA
62404,"Otte, Oscar",286,2039566,Germany
235576,"Nakashima, Brandon",89,2707274,USA
300293,"Rehberg, Max Hans",468,69813,Germany
47767,"Lamasine, Tristan",285,493452,France
55067,"Marie, Jules",205,162857,France
51345,"Damm Jr, Martin",209,162535,USA
197446,"Naw, Hazem",337,38127,Syria
36300,"Travaglia, Stefano",188,1959394,Italy
209103,"Molleker, Rudolf",187,477749,Germany
264978,"Pucinelli de Almeida, Matheus",303,199863,Brazil
69500,"Mager, Gianluca",257,1332329,Italy
76515,"Gakhov, Ivan",176,325313,Russia
69500,"Mager, Gianluca",257,1332329,Italy
163528,"Lavagno, Edoardo",239,104189,Italy
